allele,n_peptides,lambda,epsilon,epochs,fake_pcc,fake_mse
A6801,1141,0.1,0.05,200,0.720428,0.043942
A6801,1141,0.1,0.1,200,0.667561,0.054869
A6801,1141,0.3,0.01,200,0.749153,0.038104
A6801,1141,0.3,0.05,200,0.720257,0.043692
A6801,1141,0.3,0.1,200,0.666882,0.054459
A6801,1141,1.0,0.01,200,0.749661,0.037694
A6801,1141,1.0,0.05,200,0.719182,0.043147
A6801,1141,1.0,0.1,200,0.664271,0.053523
A6801,1141,3.0,0.01,200,0.749265,0.037432
A6801,1141,3.0,0.05,200,0.715326,0.042584
A6801,1141,3.0,0.1,200,0.657110,0.052186
A6801,1141,10.0,0.01,200,0.741476,0.039415
A6801,1141,10.0,0.05,200,0.697730,0.044024
A6801,1141,10.0,0.1,200,0.630087,0.052582
A6801,1141,30.0,0.01,200,0.714420,0.046642
A6801,1141,30.0,0.05,200,0.650103,0.050293
A6801,1141,30.0,0.1,200,0.572467,0.057417
A6802,1434,0.001,0.01,200,0.724938,0.035188
A6802,1434,0.001,0.05,200,0.688587,0.040468
A6802,1434,0.001,0.1,200,0.635183,0.050225
A6802,1434,0.003,0.01,200,0.724949,0.035185
A6802,1434,0.003,0.05,200,0.688603,0.040463
A6802,1434,0.003,0.1,200,0.635197,0.050217
A6802,1434,0.01,0.01,200,0.724988,0.035177
A6802,1434,0.01,0.05,200,0.688651,0.040449
A6802,1434,0.01,0.1,200,0.635231,0.050194
A6802,1434,0.1,0.01,200,0.725421,0.035081
A6802,1434,0.1,0.05,200,0.688951,0.040328
A6802,1434,0.1,0.1,200,0.635322,0.050006
A6802,1434,0.3,0.01,200,0.726104,0.034915
A6802,1434,0.3,0.05,200,0.689262,0.040137
A6802,1434,0.3,0.1,200,0.635302,0.049685
A6802,1434,1.0,0.01,200,0.727325,0.034556
A6802,1434,1.0,0.05,200,0.689297,0.039706
A6802,1434,1.0,0.1,200,0.634413,0.048887
A6802,1434,3.0,0.01,200,0.727605,0.034271
A6802,1434,3.0,0.05,200,0.686861,0.039233
A6802,1434,3.0,0.1,200,0.629758,0.047705
A6802,1434,10.0,0.01,200,0.720371,0.035567
A6802,1434,10.0,0.05,200,0.673475,0.040124
A6802,1434,10.0,0.1,200,0.608380,0.047673
A6802,1434,30.0,0.01,200,0.695759,0.041020
A6802,1434,30.0,0.05,200,0.638268,0.045493
A6802,1434,30.0,0.1,200,0.555466,0.052588
A6901,833,0.001,0.01,200,0.474265,0.025858
A6901,833,0.001,0.05,200,0.426035,0.029912
A6901,833,0.001,0.1,200,0.380853,0.035043
A6901,833,0.003,0.01,200,0.474294,0.025854
A6901,833,0.003,0.05,200,0.426070,0.029907
A6901,833,0.003,0.1,200,0.380890,0.035037
A6901,833,0.01,0.01,200,0.474393,0.025841
A6901,833,0.01,0.05,200,0.426184,0.029890
A6901,833,0.01,0.1,200,0.381005,0.035016
A6901,833,0.1,0.01,200,0.475574,0.025674
A6901,833,0.1,0.05,200,0.427189,0.029701
A6901,833,0.1,0.1,200,0.381907,0.034762
A6901,833,0.3,0.01,200,0.477703,0.025359
A6901,833,0.3,0.05,200,0.428475,0.029355
A6901,833,0.3,0.1,200,0.382923,0.034288
A6901,833,1.0,0.01,200,0.482385,0.024608
A6901,833,1.0,0.05,200,0.430495,0.028500
A6901,833,1.0,0.1,200,0.383403,0.033105
A6901,833,3.0,0.01,200,0.487143,0.023685
A6901,833,3.0,0.05,200,0.429334,0.027307
A6901,833,3.0,0.1,200,0.378537,0.031263
A6901,833,10.0,0.01,200,0.481570,0.023632
A6901,833,10.0,0.05,200,0.411350,0.026601
A6901,833,10.0,0.1,200,0.354437,0.029402
A6901,833,30.0,0.01,200,0.445453,0.025979
A6901,833,30.0,0.05,200,0.358402,0.028282
A6901,833,30.0,0.1,200,0.291447,0.030211
B0702,1262,0.001,0.01,200,0.751892,0.022557
B0702,1262,0.001,0.05,200,0.718692,0.026284
B0702,1262,0.001,0.1,200,0.650682,0.034447
B0702,1262,0.003,0.01,200,0.751905,0.022556
B0702,1262,0.003,0.05,200,0.718711,0.026282
B0702,1262,0.003,0.1,200,0.650708,0.034443
B0702,1262,0.01,0.01,200,0.751952,0.022550
